title,date_published,news_outlet,article_link,summary,text,Sentiment_Score
4 Dividend-Paying Dow Jones Growth Stocks to Buy in June and Hold for Decades,2025-05-30 23:02:00,Yahoo,https://finnhub.io/api/news?id=a6a0e1c5c7d6d606cb8a3a2c9c0e11d3ca0c1a2d42b65ddffdf2accf6971618b,"Apple could be heavily impacted by tariffs, but the long-term investment thesis is sound.  Microsoft continues to fire on all cylinders and deserves to be near an all-time high.  Visa and American Express benefit from network effects that help them steadily grow over time.","Apple could be heavily impacted by tariffs, but the long-term investment thesis is sound.  Microsoft continues to fire on all cylinders and deserves to be near an all-time high.  Visa and American Express benefit from network effects that help them steadily grow over time.",0.11329033225774765
"Tevogen Details its Artificial Intelligence Initiative, Tevogen.AI; Proprietary AI-Powered Immunotherapy with Microsoft and Databricks Partnerships",2025-05-30 23:01:00,Yahoo,https://finnhub.io/api/news?id=06a36f2e3e3e994179ca9275eb7f08de204539a95e273a2c9e1af54165593be0,"WARREN, N.J., May 30, 2025 (GLOBE NEWSWIRE) -- Tevogen (“Tevogen Bio Holdings Inc.” or “Company”) (Nasdaq: TVGN), today provided stockholders with a detailed overview of its artificial intelligence initiative, Tevogen.AI™. Tevogen.AI™ aims to integrate advanced machine learning and predictive modeling into Tevogen Bio’s proprietary ExacTcell™ technology to significantly enhance its target identification and pre-clinical processes, thereby strengthening the Company’s pipeline of innovative immuno","WARREN, N.J., May 30, 2025 (GLOBE NEWSWIRE) -- Tevogen (“Tevogen Bio Holdings Inc.” or “Company”) (Nasdaq: TVGN), today provided stockholders with a detailed overview of its artificial intelligence initiative, Tevogen.AI™. Tevogen.AI™ aims to integrate advanced machine learning and predictive modeling into Tevogen Bio’s proprietary ExacTcell™ technology to significantly enhance its target identification and pre-clinical processes, thereby strengthening the Company’s pipeline of innovative immuno",0.3026403486728668
"Microsoft unit in Russia to file for bankruptcy, database shows",2025-05-30 22:54:55,Yahoo,https://finnhub.io/api/news?id=0a13e1aaa835e97ce832b14b0dd832f9062af277438625604a017aba1d235316,"Microsoft did not immediately respond to an emailed request for comment.  President Vladimir Putin said this week that foreign service providers like Microsoft and Zoom should be ""throttled"" in Russia to make way for domestic software solutions.  Microsoft continued providing key services in Russia after Moscow's February 2022 invasion of Ukraine, but in June 2022 it said it was significantly scaling down its operations due to changes to the economic outlook and the impact on its business there.","Microsoft did not immediately respond to an emailed request for comment.  President Vladimir Putin said this week that foreign service providers like Microsoft and Zoom should be ""throttled"" in Russia to make way for domestic software solutions.  Microsoft continued providing key services in Russia after Moscow's February 2022 invasion of Ukraine, but in June 2022 it said it was significantly scaling down its operations due to changes to the economic outlook and the impact on its business there.",0.5116664003580809
IonQ vs. Microsoft: Which Quantum Cloud Stock Is the Better Buy Today?,2025-05-30 22:09:00,Yahoo,https://finnhub.io/api/news?id=94b8fc7528e5a75768a0dd79d587eb69d2f10450104c6c28dade929ef6b0be68,"Is IONQ's rapid growth worth the risk, or does MSFT's stable cloud dominance make it the better quantum cloud buy today?","Is IONQ's rapid growth worth the risk, or does MSFT's stable cloud dominance make it the better quantum cloud buy today?",0.8434469923377037
Nvidia Stock Slips. Why It Might Be Entering Its ‘Apple Era’.,2025-05-30 22:05:00,Yahoo,https://finnhub.io/api/news?id=2b8c1b26e82681a7fbabd7e1da3e599cb540efc03144c83f60b2a9b956dea655,The AI chip maker briefly surpassed Microsoft to become the world's most valuable company but looks set to slip back Friday.,The AI chip maker briefly surpassed Microsoft to become the world's most valuable company but looks set to slip back Friday.,0.5169017594307661
2 Unstoppable Vanguard ETFs That Have Doubled in Just 5 Years,2025-05-30 21:45:00,Yahoo,https://finnhub.io/api/news?id=ddc429be4bef345afca46ee1efc19d59824ec6ba70c39a88d8e462af4c4a765a,"The ETFs listed here target growth stocks and have achieved impressive returns.  As is usual at Vanguard, both ETFs charge incredibly low fees to investors.  Investing in exchange-traded funds (ETFs) is usually associated with safe and stable long-term investing.","The ETFs listed here target growth stocks and have achieved impressive returns.  As is usual at Vanguard, both ETFs charge incredibly low fees to investors.  Investing in exchange-traded funds (ETFs) is usually associated with safe and stable long-term investing.",0.8432670831680298
How The Fed And Uncertainty Can Push The S&P 500 Into A Correction,2025-05-30 21:29:36,SeekingAlpha,https://finnhub.io/api/news?id=ce699c6f78f540dd5d3dc5165ee13812bdcaf6fca434f1f1aaebeaa3f1176720,"Is the S&P 500 overvalued? Discover why economic risks and high P/E ratios signal a potential 7%-10% correction, plus opportunities for gains in 2026!","Is the S&P 500 overvalued? Discover why economic risks and high P/E ratios signal a potential 7%-10% correction, plus opportunities for gains in 2026!",0.5569126158952713
Microsoft Corporation (MSFT) is Attracting Investor Attention: Here is What You Should Know,2025-05-30 21:00:12,Yahoo,https://finnhub.io/api/news?id=7873a7478ac87de30dc499493fc2fefbc9269dc1f49a76b589b18c8ad64df30e,"Microsoft (MSFT) has received quite a bit of attention from Zacks.com users lately. Therefore, it is wise to be aware of the facts that can impact the stock's prospects.","Microsoft (MSFT) has received quite a bit of attention from Zacks.com users lately. Therefore, it is wise to be aware of the facts that can impact the stock's prospects.",0.9188590925186872
"Microsoft Secures Massive Copilot Deal, Barclays Bets Big on AI Surge",2025-05-30 20:47:02,Yahoo,https://finnhub.io/api/news?id=183a387b1588bac1a5943318c11d031ff1ee27dee866dc0f0eaad24646735131,Microsoft Scores Major AI Win as Barclays Boosts Productivity,Microsoft Scores Major AI Win as Barclays Boosts Productivity,0.1912076324224472
Latest News In Cloud AI - AI Market Transformation Drives Growth and Innovation,2025-05-30 20:39:32,Yahoo,https://finnhub.io/api/news?id=0f32ce7557ce7c6ed56e737401b379b311affd28e02276a0208b52137816ec05,"The global Artificial Intelligence (AI) market is set for a significant transformation, with its value projected to soar from USD 371.71 billion in 2025 to USD 2,407.02 billion by 2032. Key drivers of this growth include the increased adoption of autonomous AI technologies, advancements in deep learning and machine learning, and enhanced computing power. Concurrently, the development of edge AI capabilities is promoting real-time data processing and decision-making, vital for sectors such as...","The global Artificial Intelligence (AI) market is set for a significant transformation, with its value projected to soar from USD 371.71 billion in 2025 to USD 2,407.02 billion by 2032. Key drivers of this growth include the increased adoption of autonomous AI technologies, advancements in deep learning and machine learning, and enhanced computing power. Concurrently, the development of edge AI capabilities is promoting real-time data processing and decision-making, vital for sectors such as...",0.1438891962170601
CWA Says Over 300 Quality Assurance Workers Reached Tentative Contract Agreement With Zenimax Media,2025-05-30 20:19:11,Finnhub,https://finnhub.io/api/news?id=94ebc94c2aaa6fbb234c578afca338fe22b8a6efac0da2f5494ac20fc28e89e0,Microsoft Corp: * CWA: OVER 300 QUALITY ASSURANCE WORKERS REACHED TENTATIVECONTRACT AGREEMENT WITH ZENIMAX MEDIAFurther company coverage: ...,Microsoft Corp: * CWA: OVER 300 QUALITY ASSURANCE WORKERS REACHED TENTATIVECONTRACT AGREEMENT WITH ZENIMAX MEDIAFurther company coverage: ...,0.12415310367941856
Marvell: When The Market Thinks Good Earnings Still Aren't Good Enough,2025-05-30 20:13:36,SeekingAlpha,https://finnhub.io/api/news?id=29f672bdc5ddc5fee09313d75befad62001a69daf0715e0a348716a640653077,,,0.6741835996508598
Nvidia Stock Slips. It Just Hasn’t Been Able to Catch Microsoft.,2025-05-30 19:50:00,Yahoo,https://finnhub.io/api/news?id=81ef9ee620ad63950937f661abda4f4f02a90193b602e4e611853157f0764745,The AI chip maker briefly surpassed Microsoft to become the world's most valuable company but looks set to slip back Friday.,The AI chip maker briefly surpassed Microsoft to become the world's most valuable company but looks set to slip back Friday.,0.5070919040590525
Mag 7 valuations before & after Nvidia earnings: Chart of the Day,2025-05-30 19:30:13,Yahoo,https://finnhub.io/api/news?id=55a97fcc92abbdff92fb8db236afd2b9892fb4a8c492308218984379604b73c6,"Now that Nvidia's (NVDA) earnings are in the books, Yahoo Finance host Julie Hyman takes a look at what Big Tech's valuations and forward price-to-earnings (P/E) ratios look like right now, particularly for the ""Magnificent Seven."" To watch more expert insights and analysis on the latest market action, check out more Asking for a Trend here.","Now that Nvidia's (NVDA) earnings are in the books, Yahoo Finance host Julie Hyman takes a look at what Big Tech's valuations and forward price-to-earnings (P/E) ratios look like right now, particularly for the ""Magnificent Seven."" To watch more expert insights and analysis on the latest market action, check out more Asking for a Trend here.",0.9354922361671925
"Warren Buffett Thinks This Is a Particularly ""Fabulous"" Kind of Business",2025-05-30 19:15:00,Yahoo,https://finnhub.io/api/news?id=e43516e6536556d14d5cb5d44ab36b470754575f6004f0db2a2c10b9866487c0,"The investment legend loves companies that don't require a lot of capital investment.  When Warren Buffett speaks, savvy investors listen -- because he's often sharing valuable investing insights that can make us even savvier investors.  It's not hard to find wisdom from Mr. Buffett, either, because he has been interviewed countless times, has penned a terrific annual letter to shareholders for decades, and has answered questions for hours at the annual meetings of his company, Berkshire Hathaway (NYSE: BRK.A) (NYSE: BRK.B).","The investment legend loves companies that don't require a lot of capital investment.  When Warren Buffett speaks, savvy investors listen -- because he's often sharing valuable investing insights that can make us even savvier investors.  It's not hard to find wisdom from Mr. Buffett, either, because he has been interviewed countless times, has penned a terrific annual letter to shareholders for decades, and has answered questions for hours at the annual meetings of his company, Berkshire Hathaway (NYSE: BRK.A) (NYSE: BRK.B).",0.9074280709028244
"OpenAI risks being undercut by cheaper rivals, says star investor",2025-05-30 19:00:09,Yahoo,https://finnhub.io/api/news?id=408d055961eb9d5cf1614029faa0ce8ec3ca76243f2e19a85bbc20e44d7b6b5c,US groups such as OpenAI which are racing to develop artificial intelligence are at risk of being undercut by cheaper rivals such as China’s...,US groups such as OpenAI which are racing to develop artificial intelligence are at risk of being undercut by cheaper rivals such as China’s...,0.5231498554348946
FEPI Vs. QDTE: Both Funds Offer A Unique Value Proposition,2025-05-30 18:50:23,SeekingAlpha,https://finnhub.io/api/news?id=a53e9b0689da4a27714ddad72dc8f14bdff81ff0334429f74adb995aa432b559,,,0.361842080950737
3 USA-Based Stocks That Can Be Great Buys Amid Tariff Risks,2025-05-30 18:05:00,Yahoo,https://finnhub.io/api/news?id=8a6ce93d72a5ab458dde76e3a1405a37a118986c540a9e632d76d27b3c3e8c88,"The companies listed here are all strong U.S.-based businesses with excellent fundamentals.  Tariffs pose a big uncertainty for many businesses and investors for the foreseeable future.  How big they will be and how long they will be imposed are two of the biggest unknowns, and that can make it difficult to predict how the stock market will perform.","The companies listed here are all strong U.S.-based businesses with excellent fundamentals.  Tariffs pose a big uncertainty for many businesses and investors for the foreseeable future.  How big they will be and how long they will be imposed are two of the biggest unknowns, and that can make it difficult to predict how the stock market will perform.",0.8547259084880352
Weitz Partners III Opportunity Fund Q1 2025 Commentary,2025-05-30 17:57:00,SeekingAlpha,https://finnhub.io/api/news?id=da8cfa95344ccaca83ec538b7dc3a9dd78f7140f85d4404bab110e7e9f3fc588,"The Partners III Opportunity Fundâs Institutional Class returned -0.45% for the first quarter of 2025, comparing favorably to the Russell 3000 Indexâs return of -4.72%.","The Partners III Opportunity Fundâs Institutional Class returned -0.45% for the first quarter of 2025, comparing favorably to the Russell 3000 Indexâs return of -4.72%.",0.052744289860129356
Billionaire Chase Coleman Just Loaded Up on 4 Brilliant AI Stocks,2025-05-30 17:45:00,Yahoo,https://finnhub.io/api/news?id=e33ec4e420378e36819aae4aeeee46346875d9f1a5453b304c0223f994458b19,"Nvidia and Amazon still have major growth levers they're pulling.  Microsoft is delivering solid growth, but it may not be fast enough to justify its premium valuation.  One of the funds I follow is Chase Coleman's Tiger Global Management fund, which made some major purchases of top artificial intelligence (AI) stocks during the first quarter.","Nvidia and Amazon still have major growth levers they're pulling.  Microsoft is delivering solid growth, but it may not be fast enough to justify its premium valuation.  One of the funds I follow is Chase Coleman's Tiger Global Management fund, which made some major purchases of top artificial intelligence (AI) stocks during the first quarter.",0.7642736658453941
1 Magnificent Vanguard ETF to Confidently Buy With $600 During the Stock Market Rebound,2025-05-30 17:29:00,Yahoo,https://finnhub.io/api/news?id=f3b45ed085ef85e4d328b665d683a27b783f69d973af1be02282f3213ce0e1f0,"The S&P 500 is on the road to recovery after plunging by as much as 19% from its all-time high in April.  Information technology is the dominant sector in the S&P 500, and it's home to trillion-dollar giants like Nvidia, Microsoft, and Apple.  The Vanguard Information Technology ETF can help investors gain broad exposure to powerful trends like artificial intelligence (AI).","The S&P 500 is on the road to recovery after plunging by as much as 19% from its all-time high in April.  Information technology is the dominant sector in the S&P 500, and it's home to trillion-dollar giants like Nvidia, Microsoft, and Apple.  The Vanguard Information Technology ETF can help investors gain broad exposure to powerful trends like artificial intelligence (AI).",0.16366203874349594
"Elon Musk Thinks Tesla Will Be the World's Most Valuable Company, but This Huge Problem Could Send Its Stock Plunging by 70% Instead",2025-05-30 17:00:00,Yahoo,https://finnhub.io/api/news?id=7ef96eac3940784a9d3476fc0a2893bd3513e812cbc360fc0b5ac4ae0d0e4ca6,"Self-driving cars and humanoid robots are key to Musk's bullish vision for Tesla, but the company has to overcome major challenges first.  Tesla (NASDAQ: TSLA) stock hit a new record high in Dec. 2024 on the back of President Trump's election win.  Investors speculated that Trump's focus on deregulation could speed up the company's ability to commercialize its autonomous robotaxi and humanoid robot opportunities.","Self-driving cars and humanoid robots are key to Musk's bullish vision for Tesla, but the company has to overcome major challenges first.  Tesla (NASDAQ: TSLA) stock hit a new record high in Dec. 2024 on the back of President Trump's election win.  Investors speculated that Trump's focus on deregulation could speed up the company's ability to commercialize its autonomous robotaxi and humanoid robot opportunities.",0.111529890447855
Billionaire David Tepper of Appaloosa Just Sold 5 Prominent Artificial Intelligence (AI) Stocks,2025-05-30 15:51:00,Yahoo,https://finnhub.io/api/news?id=72714a6594361a394eb52ea4df09eee93e96cfbe9d1127bbc390b758a6517aee,Tepper's net-selling activity in AI stocks may have to do with more than just simple profit-taking.,Tepper's net-selling activity in AI stocks may have to do with more than just simple profit-taking.,0.9438411733135581
CoreWeave Is Building an AI Cloud Empire. The Stock Is a Puzzle.,2025-05-30 15:30:00,Yahoo,https://finnhub.io/api/news?id=4fa003f3bffa37a009d65edc0cae22c7e5bbdc45e8c70bc8ca2a1802cbeb09f5,"CoreWeave had the biggest IPO in four years, backed by the likes of Nvidia and Microsoft. The company is burning cash and building infrastructure, which has Wall Street baffled. .","CoreWeave had the biggest IPO in four years, backed by the likes of Nvidia and Microsoft. The company is burning cash and building infrastructure, which has Wall Street baffled. .",0.8169713243842125
Microsoft And Meta: Post-Earnings Updates To The Outlook,2025-05-30 15:26:00,SeekingAlpha,https://finnhub.io/api/news?id=c52c0b8bc98f858a538548b1984852d71828892ed66fe6d956fb6532406bc3f8,"For Microsoft and Meta Platforms, this earnings season demonstrated the resilience of their core businesses, despite uncertainty from tariffs.","For Microsoft and Meta Platforms, this earnings season demonstrated the resilience of their core businesses, despite uncertainty from tariffs.",0.04046199098229408
My Highest Conviction High-Yield Infrastructure Investment,2025-05-30 15:05:00,SeekingAlpha,https://finnhub.io/api/news?id=758aca28a4b8e22e6e17cdd4bee6c70e582ecbb7f9436edb02628af581051f05,,,0.8443374112248421
Microsoft Corp. Secures Major AI Deal with Barclays Plc,2025-05-30 14:50:29,Finnhub,https://finnhub.io/api/news?id=f77f375b8e2df2ca6c5bfdb25b27f566f141f444ad31d287a347cb04748efd4c,"Microsoft Corp. announced a major deal with Barclays Plc, which agreed to purchase 100,000 licenses for Microsoft?s Copilot AI assistants. The announcement was made during a companywide town hall on...","Microsoft Corp. announced a major deal with Barclays Plc, which agreed to purchase 100,000 licenses for Microsoft?s Copilot AI assistants. The announcement was made during a companywide town hall on...",0.3191717714071274
Weitz Large Cap Equity Fund Q1 2025 Commentary,2025-05-30 13:27:00,SeekingAlpha,https://finnhub.io/api/news?id=20be1557f8321ddb46f87971d737ec67a2d13c4703af4bb7743a8cf49610d101,,,0.9513946231454611
Generation PMCA Q1 2025 Quarterly,2025-05-30 11:45:00,SeekingAlpha,https://finnhub.io/api/news?id=28b28406674f5856cf17cb4c7a35e9390050aa3d0116aff9aafed85fc3e824d1,,,0.9157545408234
Tracking Ray Dalio's Bridgewater Associates 13F Portfolio - Q1 2025 Update,2025-05-30 04:53:50,SeekingAlpha,https://finnhub.io/api/news?id=065e3ec67a0a852f8de27f888c48bbc88870b963b8035abf2eaab07f900ec8b7,"See an update on Bridgewater Associates' Q1'25 portfolio shifts, highlighting top stock changes in tech and retail, diversification strategies, & key holdings.","See an update on Bridgewater Associates' Q1'25 portfolio shifts, highlighting top stock changes in tech and retail, diversification strategies, & key holdings.",0.916452769190073
Nvidia’s Most Impressive Feat Yet? How the Chip Maker Overcame a China Ban.,2025-05-30 04:47:00,Yahoo,https://finnhub.io/api/news?id=f6d0ecedcaee1f1ddabebaa429e610fa12008d8a482db43db0b25f76384b5159,Nvidia earnings don’t do its quarter justice. The chip maker handled the loss of a massive business line and still generated impressive growth.,Nvidia earnings don’t do its quarter justice. The chip maker handled the loss of a massive business line and still generated impressive growth.,0.04352665971964598
Meta Partners With Anduril to Develop XR Headsets for US Military,2025-05-30 04:27:12,Yahoo,https://finnhub.io/api/news?id=3cbbdd96bddbf9fbba99b3e90eb3ec0173f20fd4f9112428825aec8bfd6df953,The project will benefit from Meta's work in compacting AR components.,The project will benefit from Meta's work in compacting AR components.,0.2165815457701683
"Nvidia Stock Had a Solid Day, But Microsoft Remains on Top",2025-05-30 04:18:36,Yahoo,https://finnhub.io/api/news?id=8392f6dc3c4b429fd384235336e99ed134cdd8d54755e271fa9e29b062fbe330,"Nvidia stock rose on Thursday after a solid earnings report, but Microsoft managed to hold on to the title of largest U.S. company by market value.  Nvidia briefly took the crown as the world's largest company by market cap during afternoon trading, but couldn't hold on.  As of Thursday's close, Nvidia had a market cap of $3.396 trillion, just behind Microsoft's value of $3.409 trillion.","Nvidia stock rose on Thursday after a solid earnings report, but Microsoft managed to hold on to the title of largest U.S. company by market value.  Nvidia briefly took the crown as the world's largest company by market cap during afternoon trading, but couldn't hold on.  As of Thursday's close, Nvidia had a market cap of $3.396 trillion, just behind Microsoft's value of $3.409 trillion.",0.09912244230508804
BofA Names Microsoft (MSFT) a Winner in Small-to-Mid-Size Business Software,2025-05-30 03:17:05,Yahoo,https://finnhub.io/api/news?id=a9781ffae721ebc9d45a9fc052e04caea38692851f696519e728577b2511f412,"We recently published a list of 12 AI Stocks on Latest News and Ratings. In this article, we are going to take a look at where Microsoft Corporation (NASDAQ:MSFT) stands against other AI stocks on latest news and ratings. Microsoft Corporation (NASDAQ:MSFT) provides AI-powered cloud, productivity, and business solutions, focusing on efficiency, security, and AI […]","We recently published a list of 12 AI Stocks on Latest News and Ratings. In this article, we are going to take a look at where Microsoft Corporation (NASDAQ:MSFT) stands against other AI stocks on latest news and ratings. Microsoft Corporation (NASDAQ:MSFT) provides AI-powered cloud, productivity, and business solutions, focusing on efficiency, security, and AI […]",0.8650970235466957
Citi Raises Microsoft (MSFT) Price Target to $540 on Strong Q3 and AI Momentum,2025-05-30 03:11:05,Yahoo,https://finnhub.io/api/news?id=20e4c7d4ce5cbc50033b74e2503f61b0d49b902836ce1539ab3f898ed8c27e6f,Citi recently raised the price target on Microsoft Corporation (NASDAQ:MSFT) to $540 from $480 and kept a Buy rating on the shares. Microsoft is a technology company. Citi updated Microsoft’s model following reports this week of a 3% workforce reduction and post the company’s strong fiscal Q3 results. Management commentary has remained confident on the […],Citi recently raised the price target on Microsoft Corporation (NASDAQ:MSFT) to $540 from $480 and kept a Buy rating on the shares. Microsoft is a technology company. Citi updated Microsoft’s model following reports this week of a 3% workforce reduction and post the company’s strong fiscal Q3 results. Management commentary has remained confident on the […],0.42568525671958923
Nvidia stock surges after earnings surprise,2025-05-30 01:48:22,Yahoo,https://finnhub.io/api/news?id=7c594620c4a5548036b5115c694ae6b8f8a2974d9b4cbffdda0347ed73a3f2f8,Nvidia's stock price is jumping after CEO Jensen Huang released quarterly earnings results.,Nvidia's stock price is jumping after CEO Jensen Huang released quarterly earnings results.,0.4455292336642742
"Nvidia fails to finish the day as the largest U.S. company, as its stock pares gains",2025-05-30 01:39:24,MarketWatch,https://finnhub.io/api/news?id=380400c614fd20704d495ffe6fa1f017f9d1efc32a437411bd69f369f7a50563,"Nvidia fails to finish the day as the largest U.S. company, as its stock pares gains","Nvidia fails to finish the day as the largest U.S. company, as its stock pares gains",0.5088622216135263
ETB: Hard To Recommend This Fund In A Bull Market,2025-05-30 01:29:32,SeekingAlpha,https://finnhub.io/api/news?id=121a4a7ceefcf5b447ce8776868b781fc1849549fc91025f965b9f5d2f05ac0c,"Read about ETB's 9.2% yield, its performance limits in bull markets, and why ETY might be a better choice for long-term growth.","Read about ETB's 9.2% yield, its performance limits in bull markets, and why ETY might be a better choice for long-term growth.",0.8630641289055347
"Barclays Agreed To Buy 100,000 Licenses For Microsoft's Copilot AI Assistants - Bloomberg News",2025-05-30 01:01:28,Finnhub,https://finnhub.io/api/news?id=a537d33d78120bc2153386cac3cbc758fab5203e446c5a894f6b182cc3c72c36,"May 29 - * BARCLAYS AGREED TO BUY 100,000 LICENSES FOR MICROSOFT’SCOPILOTAI ASSISTANTS - BLOOMBERG NEWSSource text: https://tinyurl.com/25kulzls ...","May 29 - * BARCLAYS AGREED TO BUY 100,000 LICENSES FOR MICROSOFT’SCOPILOTAI ASSISTANTS - BLOOMBERG NEWSSource text: https://tinyurl.com/25kulzls ...",0.36437371373176575
"Salesforce says over 8,000 customers using new agentic AI tool",2025-05-30 00:26:00,Yahoo,https://finnhub.io/api/news?id=4d3ed01c09ee9a7386e7b6dba529c4c30297eb7ec4eb7e981e286619b1edf5fb,"The “Agentforce” tool is also now producing $100 million in average order value, CEO Marc Benioff said.","The “Agentforce” tool is also now producing $100 million in average order value, CEO Marc Benioff said.",0.6332037597894669
Microsoft Feels the Heat as ‘Carbon Negative’ Goal Looms Nearer,2025-05-30 00:08:00,Yahoo,https://finnhub.io/api/news?id=bcf284b56219c174cb86c05a3c770d04e453840987d034cbeb3f8ce3367e5d71,"In 2020, the tech giant set itself a target of drastically cutting its emissions by the end of the decade. With five years to go, the pressure is mounting.","In 2020, the tech giant set itself a target of drastically cutting its emissions by the end of the decade. With five years to go, the pressure is mounting.",0.5647567044943571
