title,date_published,news_outlet,article_link,summary,text,Sentiment_Score
"Elon Musk Thinks Tesla Will Be the World's Most Valuable Company, but This Huge Problem Could Send Its Stock Plunging by 70% Instead",2025-05-30 17:00:00,Yahoo,https://finnhub.io/api/news?id=7ef96eac3940784a9d3476fc0a2893bd3513e812cbc360fc0b5ac4ae0d0e4ca6,"Self-driving cars and humanoid robots are key to Musk's bullish vision for Tesla, but the company has to overcome major challenges first.  Tesla (NASDAQ: TSLA) stock hit a new record high in Dec. 2024 on the back of President Trump's election win.  Investors speculated that Trump's focus on deregulation could speed up the company's ability to commercialize its autonomous robotaxi and humanoid robot opportunities.","Self-driving cars and humanoid robots are key to Musk's bullish vision for Tesla, but the company has to overcome major challenges first.  Tesla (NASDAQ: TSLA) stock hit a new record high in Dec. 2024 on the back of President Trump's election win.  Investors speculated that Trump's focus on deregulation could speed up the company's ability to commercialize its autonomous robotaxi and humanoid robot opportunities.",0.111529890447855
Here’s what’s worth streaming in June 2025 as ‘The Bear’ and ‘Squid Game’ return,2025-05-30 16:16:00,MarketWatch,https://finnhub.io/api/news?id=fdf4a8ec24d63f09445d9f1b8e1b38794904dd002ceddea1baf335a51ec40b85,Here’s what’s worth streaming in June 2025 as ‘The Bear’ and ‘Squid Game’ return,Here’s what’s worth streaming in June 2025 as ‘The Bear’ and ‘Squid Game’ return,0.9451615009456873
Apple: Double-Down When The Market Gets Silly,2025-05-30 16:00:00,SeekingAlpha,https://finnhub.io/api/news?id=41811e2fd73c54d46e61dbfdaa670fe34ea4ee7a1b7efd4f466e10073719487d,"Apple is down 20%, but historical trends suggest a rebound. Appleâs history as a capable supply chain manager provides resilience. See more on AAPL stock here.","Apple is down 20%, but historical trends suggest a rebound. Appleâs history as a capable supply chain manager provides resilience. See more on AAPL stock here.",0.47533101961016655
"Apple Plans OS Rebrand, Its Biggest Ever",2025-05-30 14:31:40,Finnhub,https://finnhub.io/api/news?id=160583479cf2f8bd571fc64c4531c12bf9c191c8a10ba90b7de6afcbe7a3ed9a,Apple is planning to rename its operating systems based on the release year rather than version numbers. Bloomberg's Dana Wollman explains the reasoning behind the move in a conversation with...,Apple is planning to rename its operating systems based on the release year rather than version numbers. Bloomberg's Dana Wollman explains the reasoning behind the move in a conversation with...,0.9303522724658251
Stocks head for best month since 2023 ahead of inflation data,2025-05-30 14:24:14,Finnhub,https://finnhub.io/api/news?id=97bf065afc2a239ab8ca30314f10cb605038f87024d0d3a607e0e30ea9b25f55,"World stocks were heading fortheir best month since late 2023 on Friday and the dollar wasflirting with its first monthly rise of the year, while traderswaited for key inflation data and assessed...","World stocks were heading fortheir best month since late 2023 on Friday and the dollar wasflirting with its first monthly rise of the year, while traderswaited for key inflation data and assessed...",0.11832636222243309
Apple (AAPL) Rated Hold by Loop Capital Amid Tariff and iPhone 17 Buzz,2025-05-30 13:30:03,Yahoo,https://finnhub.io/api/news?id=6e342a4c13f26711a6abfee2a21eac3aebaf11ff5e458f0f9450bd3a30603fe8,"We recently published a list of 10 AI Stocks on Wall Street’s Radar. In this article, we are going to take a look at where Apple Inc. (NASDAQ:AAPL) stands against other AI stocks on Wall Street’s radar. On May 28, Loop Capital analyst Ananda Baruah reiterated a “Hold” rating on Apple Inc. (NASDAQ:AAPL) and $215.00 […]","We recently published a list of 10 AI Stocks on Wall Street’s Radar. In this article, we are going to take a look at where Apple Inc. (NASDAQ:AAPL) stands against other AI stocks on Wall Street’s radar. On May 28, Loop Capital analyst Ananda Baruah reiterated a “Hold” rating on Apple Inc. (NASDAQ:AAPL) and $215.00 […]",0.9047677479684353
China's April shipments of foreign-branded mobile phones up 0.8% from prior year,2025-05-30 13:24:12,Finnhub,https://finnhub.io/api/news?id=680d4d797eeaf096927694f379dbb00cca4695abf3e65e8901ac30178a69cec2,"China's shipments offoreign-branded mobile phones, including Apple Inc'siPhones, were up 0.8% year-on-year in April, according to datareleased by a government-affiliated research company on...","China's shipments offoreign-branded mobile phones, including Apple Inc'siPhones, were up 0.8% year-on-year in April, according to datareleased by a government-affiliated research company on...",0.032992017455399036
Texas passes law requiring age verification in App Stores,2025-05-30 12:03:05,Finnhub,https://finnhub.io/api/news?id=2cbf448c97f78ba4a3acd9991ec84c718b3fd7edf874d67d39ee496eecf0bcae,Copyright © BusinessAMBE 2023Key takeawaysTexas Governor Greg Abbott has signed a law requiring app stores to verify the age of users in the state.The law requires minors to get parental...,Copyright © BusinessAMBE 2023Key takeawaysTexas Governor Greg Abbott has signed a law requiring app stores to verify the age of users in the state.The law requires minors to get parental...,0.9277967307716608
Generation PMCA Q1 2025 Quarterly,2025-05-30 11:45:00,SeekingAlpha,https://finnhub.io/api/news?id=28b28406674f5856cf17cb4c7a35e9390050aa3d0116aff9aafed85fc3e824d1,,,0.9157545408234
How Trump's trade war is upending the global economy,2025-05-30 09:19:35,Finnhub,https://finnhub.io/api/news?id=b2c170f44e8ff27b21f295901719b3f4675c9d764c82ae5208c52db7f2b47be0,U.S. President Donald Trump's tariffdecisions since he took office on January 20 have shockedfinancial markets and sent a wave of uncertainty through theglobal economy. Here is a...,U.S. President Donald Trump's tariffdecisions since he took office on January 20 have shockedfinancial markets and sent a wave of uncertainty through theglobal economy. Here is a...,0.5870653111487627
Taiwan Says US Trade-Deal Push Still On Despite Court Ruling,2025-05-30 08:45:34,Yahoo,https://finnhub.io/api/news?id=a5f1c0eb82c5b469d00f2fc54ba6586fd1b6d02b77b60fbec9e1f03351c34030,"(Bloomberg) -- Taiwan is continuing efforts to secure a trade deal with the US, a top official in Taipei said, even after a court blocked many of the tariffs that President Donald Trump has threatened to impose on other countries.Most Read from BloombergNYC Congestion Toll Brings In $216 Million in First Four MonthsNow With Colorful Blocks, Tirana’s Pyramid Represents a Changing AlbaniaThe Economic Benefits of Paying Workers to MoveNY Wins Order Against US Funding Freeze in Congestion FightNY Co","(Bloomberg) -- Taiwan is continuing efforts to secure a trade deal with the US, a top official in Taipei said, even after a court blocked many of the tariffs that President Donald Trump has threatened to impose on other countries.Most Read from BloombergNYC Congestion Toll Brings In $216 Million in First Four MonthsNow With Colorful Blocks, Tirana’s Pyramid Represents a Changing AlbaniaThe Economic Benefits of Paying Workers to MoveNY Wins Order Against US Funding Freeze in Congestion FightNY Co",0.6326627284288406
Tracking Ray Dalio's Bridgewater Associates 13F Portfolio - Q1 2025 Update,2025-05-30 04:53:50,SeekingAlpha,https://finnhub.io/api/news?id=065e3ec67a0a852f8de27f888c48bbc88870b963b8035abf2eaab07f900ec8b7,"See an update on Bridgewater Associates' Q1'25 portfolio shifts, highlighting top stock changes in tech and retail, diversification strategies, & key holdings.","See an update on Bridgewater Associates' Q1'25 portfolio shifts, highlighting top stock changes in tech and retail, diversification strategies, & key holdings.",0.916452769190073
"Appeals Court Rescues Trump Tariffs On China, Apple And The World; S&P 500 Rises",2025-05-30 04:43:51,Yahoo,https://finnhub.io/api/news?id=1030127512d946bef6b56b9cbb15aeac9532952400ba0a20cf053ff67e5c82a2,"A federal appeals court on Thursday granted the Trump administration's request for a stay of a Wednesday ruling that President Donald Trump overstepped his authority in imposing reciprocal tariffs announced on April 2 and earlier tariffs aimed at China, Mexico and Canada.  The S&P 500 barely reacted to the latest Trump tariffs twist, remaining slightly higher on the session.  The stay granted by the U.S. Court of Appeals for the Federal Circuit is a short-term one — while the court considers filings from both plaintiffs and the U.S. that are due by June 9.","A federal appeals court on Thursday granted the Trump administration's request for a stay of a Wednesday ruling that President Donald Trump overstepped his authority in imposing reciprocal tariffs announced on April 2 and earlier tariffs aimed at China, Mexico and Canada.  The S&P 500 barely reacted to the latest Trump tariffs twist, remaining slightly higher on the session.  The stay granted by the U.S. Court of Appeals for the Federal Circuit is a short-term one — while the court considers filings from both plaintiffs and the U.S. that are due by June 9.",0.5084056351333857
Jim Cramer on Apple Inc. (AAPL): “They’ll Have the Best AI”,2025-05-30 04:22:34,Yahoo,https://finnhub.io/api/news?id=40c1f263e0a0073b3fdd36ff267b2373a4c8e3aa96a13e88e46a3a9efa732872,"We recently published a list of Jim Cramer Put These 14 Stocks Under the Microscope. In this article, we are going to take a look at where Apple Inc. (NASDAQ:AAPL) stands against other stocks that Jim Cramer discusses. While discussing Apple Inc. (NASDAQ:AAPL), Cramer praised the company’s CEO as he said: “… The endless carping […]","We recently published a list of Jim Cramer Put These 14 Stocks Under the Microscope. In this article, we are going to take a look at where Apple Inc. (NASDAQ:AAPL) stands against other stocks that Jim Cramer discusses. While discussing Apple Inc. (NASDAQ:AAPL), Cramer praised the company’s CEO as he said: “… The endless carping […]",0.8897830918431282
Apple's App Store Billings Triple to $406 Billion in Five Years,2025-05-30 03:39:29,Yahoo,https://finnhub.io/api/news?id=988cfa95af3780706e2e60b2e8b8692a09d7439562f312befee72fdc8c50f01b,Apple reports 76% spike in small-developer earnings and 90% no-commission volume,Apple reports 76% spike in small-developer earnings and 90% no-commission volume,0.03763061482459307
Apple Dips as IDC Cuts Smartphone Forecast,2025-05-30 03:34:23,Yahoo,https://finnhub.io/api/news?id=7db35531baf235765eb332be7f1e758f43e0c3090e0654186be34c4859d546d8,"IDC sees just 0.6% shipment growth in 2025 amid tariff, subsidy and competition headwinds","IDC sees just 0.6% shipment growth in 2025 amid tariff, subsidy and competition headwinds",0.5030860831029713
"iPhone Shipments Still Set to Grow Despite Tariffs, Research Firm Says",2025-05-30 03:24:48,Yahoo,https://finnhub.io/api/news?id=d339f77afc7aaeeee512d09d0d0a688c8bcde7165fc4f05f720da9df92fb77bd,"U.S. iPhone shipments are expected to grow 2.5% this year, IDC estimates, a figure that’s lower than the 3.4% the research firm previously expected but is nonetheless robust in the face of tariff headwinds.  Surprisingly, its forecast for global iPhone shipments is basically flat at 1.7% growth compared with its prior forecast of 1.8% growth.  IDC also reduced its 2025 growth projections for overall global smartphone shipments to 0.6%, down from a 2.3% forecast made in February before President Trump’s Liberation Day tariff announcement.","U.S. iPhone shipments are expected to grow 2.5% this year, IDC estimates, a figure that’s lower than the 3.4% the research firm previously expected but is nonetheless robust in the face of tariff headwinds.  Surprisingly, its forecast for global iPhone shipments is basically flat at 1.7% growth compared with its prior forecast of 1.8% growth.  IDC also reduced its 2025 growth projections for overall global smartphone shipments to 0.6%, down from a 2.3% forecast made in February before President Trump’s Liberation Day tariff announcement.",0.4981441064737737
UBS Reiterates Neutral on Apple (AAPL) as Tariff Talk Sparks iPhone Buying Surge,2025-05-30 03:15:22,Yahoo,https://finnhub.io/api/news?id=33c661f7b89e58a371d9341b1890072c4a65666d1204b22fa3970ebe879eeade,"We recently published a list of 12 AI Stocks on Latest News and Ratings. In this article, we are going to take a look at where Apple Inc. (NASDAQ:AAPL) stands against other AI stocks on latest news and ratings. One of the most notable analyst calls on Tuesday, May 28, was for Apple Inc. (NASDAQ:AAPL). […]","We recently published a list of 12 AI Stocks on Latest News and Ratings. In this article, we are going to take a look at where Apple Inc. (NASDAQ:AAPL) stands against other AI stocks on latest news and ratings. One of the most notable analyst calls on Tuesday, May 28, was for Apple Inc. (NASDAQ:AAPL). […]",0.9279881604015827
Evercore Unfazed: $205 Target Reaffirmed Despite GOOG Underperformance,2025-05-30 02:21:25,Yahoo,https://finnhub.io/api/news?id=e657c045d8576a66ee136217913afe4e55e140a9bb800a719cf3616952ddfb55,"Evercore ISI recently reiterated an Outperform rating and $205 price target on Alphabet Inc. (NASDAQ:GOOG) shares. Alphabet is a technology company that owns and runs the internet search engine Google. In an investor note, the analyst noted that Alphabet shares had traded down following reports that Apple Senior VP of Services Eddy Cue testified that […]","Evercore ISI recently reiterated an Outperform rating and $205 price target on Alphabet Inc. (NASDAQ:GOOG) shares. Alphabet is a technology company that owns and runs the internet search engine Google. In an investor note, the analyst noted that Alphabet shares had traded down following reports that Apple Senior VP of Services Eddy Cue testified that […]",0.5076199141331017
"Wedbush: Apple Inc. (NASDAQ:AAPL) Could Face US Pressure, But India Key to Avoiding $3,500 iPhones",2025-05-30 02:16:57,Yahoo,https://finnhub.io/api/news?id=bafc29174e6dd725186a76e7ec1500acdcac52516e3363b3207053f89b86e4da,Wedbush analyst Daniel Ives believes Outperform-rated Apple Inc. (NASDAQ:AAPL) has put itself in a very hedged supply chain strategy heading into iPhone 17 production this Fall. Apple is a consumer electronics firm. All of the advisory’s work in the supply chain throughout Asia over the past few weeks gives it a high level of confidence […],Wedbush analyst Daniel Ives believes Outperform-rated Apple Inc. (NASDAQ:AAPL) has put itself in a very hedged supply chain strategy heading into iPhone 17 production this Fall. Apple is a consumer electronics firm. All of the advisory’s work in the supply chain throughout Asia over the past few weeks gives it a high level of confidence […],0.16126810759305954
Google To Launch Direct Sales and Physical Stores in India,2025-05-30 01:30:18,Yahoo,https://finnhub.io/api/news?id=858df80789d2c5a893d458a5196d45ce57b42bf2028951eb86571277a46a2850,"Alphabet Inc.’s (NASDAQ:GOOGL) Google has joined Apple in enabling direct hardware sales in India. On May 28, the company began direct sale of Pixel Phones, watches, and earbuds in India ahead of an official launch in physical stores. Over the years, the company has sold its products through authorized retailers and e-commerce platform Flipkart. Media […]","Alphabet Inc.’s (NASDAQ:GOOGL) Google has joined Apple in enabling direct hardware sales in India. On May 28, the company began direct sale of Pixel Phones, watches, and earbuds in India ahead of an official launch in physical stores. Over the years, the company has sold its products through authorized retailers and e-commerce platform Flipkart. Media […]",0.4276442974805832
ETB: Hard To Recommend This Fund In A Bull Market,2025-05-30 01:29:32,SeekingAlpha,https://finnhub.io/api/news?id=121a4a7ceefcf5b447ce8776868b781fc1849549fc91025f965b9f5d2f05ac0c,"Read about ETB's 9.2% yield, its performance limits in bull markets, and why ETY might be a better choice for long-term growth.","Read about ETB's 9.2% yield, its performance limits in bull markets, and why ETY might be a better choice for long-term growth.",0.8630641289055347
